test,Acceptable if,equation,parameter,coefficient,classical_std_error,classical_p_value,hc3_std_error,hc3_p_value,hac_newey_west_std_error,hac_newey_west_p_value,classical_significant_at_5pct,hc3_significant_at_5pct,hac_significant_at_5pct,significance_changed_hc3,significance_changed_hac
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L2.UNRATE,0.1723029614216412,0.17299302554758933,0.3199289704701457,1.6599893211100452,0.9173890584123009,0.3552349192312947,0.6279500548272892,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L2.INDPRO_GROWTH,0.0422948176832504,0.0789551314496008,0.5925168621920749,0.14336556157940097,0.7681572687902888,0.0785979739360575,0.5908371313073482,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L2.M2_GROWTH,0.5315871836595352,0.1492080242929743,0.0004175741935132221,0.3684335539196709,0.14995746469413765,0.26722485916027283,0.0474430326562831,True,False,True,True,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L3.INF,0.26025116336404885,0.23627538309827315,0.271443062975085,0.2623546007488748,0.3218874813195212,0.16278234748543796,0.11076941304232372,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L3.UNRATE,-0.24774834390505474,0.17468783750016972,0.15700696633002353,1.093978598707609,0.820970887208004,0.12897893311257191,0.05555893924791263,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L3.INDPRO_GROWTH,0.14149629197375757,0.0770289608268688,0.06706416634902437,0.13878255050072516,0.3086402928630667,0.07154614656595641,0.04874300719792846,False,False,True,False,True
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L3.M2_GROWTH,0.20191762018206397,0.15261685430948385,0.18668213957323543,0.22265444010725036,0.3650983266352164,0.12851782869827333,0.11705194578017847,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L4.INF,0.23439148421726871,0.21446491924829258,0.27517942747964735,0.24495099191654263,0.33927882851346236,0.18768507030238163,0.21254792516152135,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L4.UNRATE,-0.19656381471758128,0.14687334722583378,0.1816553525867063,0.7595013878889768,0.7959358980220512,0.10717679550713582,0.06749585654477326,False,False,False,False,False
"Classical, HC3, and HAC/Newey-West coefficient inference","significance conclusions are stable across classical, HC3, and HAC p-values; p-value < 0.05 indicates significance",INDPRO_GROWTH,L4.INDPRO_GROWTH,0.09415554186480439,0.05327368082544847,0.0780287840223519,0.127437842727002,0.4604995370815275,0.04457272682077363,0.03535577058493772,False,False,True,False,True
